Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,2015,Summer     ,Uttarakhand,13043.0,50137.0,1247.6,2059620.13,4304.19,3.84
Sesamum,2015,Kharif     ,Uttarakhand,1700.0,464.0,1247.6,268447.0,561.0,0.27
Small millets,2015,Kharif     ,Uttarakhand,56570.0,72632.0,1247.6,8932968.7,18668.1,1.28
Soyabean,2015,Kharif     ,Uttarakhand,11940.0,15950.0,1247.6,1885445.4,3940.2,1.34
Sugarcane,2015,Whole Year ,Uttarakhand,95538.0,5656014.0,1247.6,15086405.58,31527.54,59.2
Sunflower,2015,Kharif     ,Uttarakhand,102.0,97.0,1247.6,16106.82,33.66,0.95
Turmeric,2015,Whole Year ,Uttarakhand,980.0,1738.0,1247.6,154751.8,323.4,1.77
Urad,2015,Kharif     ,Uttarakhand,11940.0,7876.0,1247.6,1885445.4,3940.2,0.66
Urad,2015,Summer     ,Uttarakhand,59.0,26.0,1247.6,9316.69,19.47,0.44
Wheat,2015,Rabi       ,Uttarakhand,342650.0,790370.0,1247.6,54107861.5,113074.5,2.31
other oilseeds,2015,Kharif     ,Uttarakhand,30.0,19.0,1247.6,4737.3,9.9,0.63
other oilseeds,2015,Rabi       ,Uttarakhand,627.0,315.0,1247.6,99009.57,206.91,0.5
Arhar/Tur,2016,Kharif     ,Uttarakhand,2488.0,2253.0,1580.9,381286.0,870.8,0.91
Barley,2016,Rabi       ,Uttarakhand,19834.0,24622.0,1580.9,3039560.5,6941.9,1.24
Garlic,2016,Whole Year ,Uttarakhand,3818.0,23465.0,1580.9,585108.5,1336.3,6.15
Gram,2016,Rabi       ,Uttarakhand,743.0,598.0,1580.9,113864.75,260.05,0.8
Groundnut,2016,Kharif     ,Uttarakhand,935.0,1214.0,1580.9,143288.75,327.25,1.3
Horse-gram,2016,Kharif     ,Uttarakhand,11762.0,9536.0,1580.9,1802526.5,4116.7,0.81
Linseed,2016,Rabi       ,Uttarakhand,25.0,10.0,1580.9,3831.25,8.75,0.4
Maize,2016,Kharif     ,Uttarakhand,21692.0,36649.0,1580.9,3324299.0,7592.2,1.69
Maize,2016,Summer     ,Uttarakhand,90.0,133.0,1580.9,13792.5,31.5,1.48
Masoor,2016,Rabi       ,Uttarakhand,10291.0,7667.0,1580.9,1577095.75,3601.85,0.75
Moong(Green Gram),2016,Kharif     ,Uttarakhand,37.0,18.0,1580.9,5670.25,12.95,0.49
Moong(Green Gram),2016,Summer     ,Uttarakhand,3.0,3.0,1580.9,459.75,1.05,1.0
Moth,2016,Kharif     ,Uttarakhand,8.0,3.0,1580.9,1226.0,2.8,0.38
Onion,2016,Whole Year ,Uttarakhand,3557.0,29892.0,1580.9,545110.25,1244.95,8.4
